Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
04-Apr-25,Friday,April,Q2,2025,EQ,115000.0,115000.0,112800.0,114870.5,113280.3,113237.0,113408.4,143849.9,102124.1,4440.0,3260.0
03-Apr-25,Thursday,April,Q2,2025,EQ,114500.0,115000.0,113800.0,115137.4,114877.7,114870.5,114499.9,143849.9,102124.1,3272.0,2613.0
02-Apr-25,Wednesday,April,Q2,2025,EQ,113400.1,115275.8,112774.3,113037.1,114919.0,115137.4,114379.1,143849.9,102124.1,5030.0,3815.0
01-Apr-25,Tuesday,April,Q2,2025,EQ,112500.0,114411.7,111900.0,112677.8,113077.8,113037.1,113253.0,143849.9,102124.1,3593.0,2862.0
28-Mar-25,Friday,March,Q1,2025,EQ,113800.0,114397.0,112084.4,113264.1,112500.3,112677.8,112938.0,143849.9,102124.1,7320.0,5233.0
27-Mar-25,Thursday,March,Q1,2025,EQ,114003.0,114200.0,112445.0,114321.2,113939.7,113264.1,113188.3,143849.9,102124.1,10576.0,7707.0
26-Mar-25,Wednesday,March,Q1,2025,EQ,114126.5,115500.0,113900.1,114264.5,114008.7,114321.2,114844.4,143849.9,102124.1,5979.0,4284.0
25-Mar-25,Tuesday,March,Q1,2025,EQ,115925.0,116000.0,113509.9,114020.8,114115.0,114264.5,114610.7,143849.9,102124.1,8037.0,5495.0
24-Mar-25,Monday,March,Q1,2025,EQ,112990.0,114300.0,112651.3,112050.2,114150.0,114020.8,113907.5,143849.9,102124.1,5731.0,4028.0
21-Mar-25,Friday,March,Q1,2025,EQ,111440.0,112800.0,111042.5,111107.9,112100.0,112050.2,112131.5,143849.9,102124.1,8367.0,5828.0
20-Mar-25,Thursday,March,Q1,2025,EQ,110500.0,111450.0,110161.2,109922.8,111230.0,111107.9,110951.6,143849.9,102124.1,5687.0,3631.0
19-Mar-25,Wednesday,March,Q1,2025,EQ,107999.7,110099.0,107999.7,107839.2,110099.0,109922.8,109099.6,143849.9,102124.1,6057.0,4141.0
18-Mar-25,Tuesday,March,Q1,2025,EQ,105500.0,107950.0,105500.0,105410.8,107850.1,107839.2,107154.7,143849.9,102124.1,4928.0,3410.0
17-Mar-25,Monday,March,Q1,2025,EQ,105200.0,106440.7,105200.0,105041.6,105400.1,105410.8,105688.2,143849.9,102124.1,3891.0,2912.0
